,Product Name in flipkart,Retail Price (FK),Discounted Price (FK),Product name in Amazon,Retail Price (AMZ),Discounted Price (AMZ)
0,alisha solid women's cycling shorts,999.0,379.0,alisha solid women's cycling shorts,982,438
1,fabhomedecor fabric double sofa bed,32157.0,22646.0,fabhomedecor fabric double sofa bed,32150,28650
2,aw bellies,999.0,499.0,aw bellies,991,551
3,alisha solid women's cycling shorts,699.0,267.0,alisha solid women's cycling shorts,982,438
4,sicons all purpose arnica dog shampoo,220.0,210.0,sicons all purpose arnica dog shampoo,208,258
5,eternal gandhi super series crystal paper weights  with silver finish,430.0,430.0,eternal gandhi super series crystal paper weights  with silver finish,427,473
6,alisha solid women's cycling shorts,1199.0,479.0,alisha solid women's cycling shorts,982,438
7,fabhomedecor fabric double sofa bed,32157.0,22646.0,fabhomedecor fabric double sofa bed,32150,28650
8,"dilli bazaaar bellies, corporate casuals, casuals",699.0,349.0,"dilli bazaaar bellies, corporate casuals, casuals",682,385
9,alisha solid women's cycling shorts,1199.0,479.0,alisha solid women's cycling shorts,982,438
10,ladela bellies,1724.0,950.0,ladela bellies,1705,1119
11,carrel printed women's,2299.0,910.0,carrel printed women's,2281,1080
12,sicons all purpose tea tree dog shampoo,,,sicons all purpose tea tree dog shampoo,-11,0
13,alisha solid women's cycling shorts,999.0,379.0,alisha solid women's cycling shorts,982,438
14,freelance vacuum bottles 350 ml bottle,699.0,699.0,freelance vacuum bottles 350 ml bottle,690,822
15,alisha solid women's cycling shorts,999.0,379.0,alisha solid women's cycling shorts,982,438
16,fabhomedecor fabric double sofa bed,32157.0,22646.0,fabhomedecor fabric double sofa bed,32150,28650
17,style foot bellies,899.0,449.0,style foot bellies,894,514
18,carrel printed women's,2499.0,999.0,carrel printed women's,2281,1080
19,fabhomedecor fabric double sofa bed,32157.0,22646.0,fabhomedecor fabric double sofa bed,32150,28650
20,sicons conditioning conditoner dog shampoo,110.0,100.0,sicons conditioning conditoner dog shampoo,97,119
21,alisha solid women's cycling shorts,,,alisha solid women's cycling shorts,982,438
22,dongli printed boy's round neck t-shirt,2400.0,1039.0,dongli printed boy's round neck t-shirt,2382,1254
23,swagga women clogs,1500.0,1500.0,swagga women clogs,1490,1821
24,kennel rubber dumbell with bell - small rubber rubber toy for dog,190.0,190.0,kennel rubber dumbell with bell - small rubber rubber toy for dog,185,209
25,glus wedding lingerie set,1299.0,699.0,glus wedding lingerie set,1295,869
26,veelys shiny white quad roller skates - size 4.5 uk,3199.0,2499.0,veelys shiny white quad roller skates - size 4.5 uk,3193,2835
27,bulaky vanity case jewellery vanity case,499.0,390.0,bulaky vanity case jewellery vanity case,488,490
28,fdt women's leggings,699.0,309.0,fdt women's leggings pants,698,362
29,madcaps c38gr30 men's cargos,2199.0,1699.0,madcaps c38gr30 men's cargos,2183,2100
30,bengal blooms rose artificial plant  with pot,799.0,579.0,bengal blooms rose artificial plant  with pot,783,710
31,indcrown net embroidered semi-stitched lehenga choli material,999.0,699.0,indcrown net embroidered semi-stitched lehenga choli material,994,854
32,shopmania music band a5 notebook spiral bound,499.0,275.0,shopmania music band a5 notebook spiral bound,483,347
33,shopmania music band a5 notebook spiral bound,499.0,275.0,shopmania music band a5 notebook spiral bound,483,347
34,"tiara diaries 2016-2017 designer la kaarta ""taking action getting result"" (set of 3) b5 notebook hard bound",1000.0,837.0,"tiara diaries 2016-2017 designer la kaarta ""taking action getting result"" (set of 3) b5 notebook hard bound",993,1019
35,kajci embroidered women's waistcoat,1200.0,699.0,kajci embroidered women's waistcoat,1183,822
36,packman 8 x 10 inches security bags without pod jacket courier bag security bag,350.0,298.0,packman 8 x 10 inches security bags without pod jacket courier bag security bag,347,343
37,pick pocket embroidered women's waistcoat,899.0,899.0,pick pocket embroidered women's waistcoat,886,1167
38,angelfish silk potali potli,999.0,399.0,angelfish silk potali potli,983,482
39,oye boy's dungaree,899.0,764.0,oye boy's dungaree,893,985
